date,price,regime,conf,P_BULL,P_BEAR,P_RANGE,P_TRANS,momentum,stability,rotation,sentiment,macro,risk_level,risk_state,risk_exposure_cap,exposure_cap
2021-07-19,30847.55,BEAR,0.1576,0.2753,0.4367,0.2158,0.0723,-0.3628,0.6982,0.0,-0.1886,-0.2019,-0.1009,RISK_NEUTRAL,0.7,0.5
2021-07-20,29795.55,BEAR,0.1883,0.2633,0.4499,0.2125,0.0743,-0.4725,0.7337,0.0,-0.2425,-0.303,-0.1241,RISK_NEUTRAL,0.7,0.5
2021-07-21,32139.48,BEAR,0.0457,0.3406,0.3806,0.2104,0.0684,0.3106,1.0,0.0,-0.3014,-0.2584,0.0,RISK_NEUTRAL,0.7,0.5
2021-07-22,32299.47,BEAR,0.0457,0.3769,0.3439,0.2013,0.0779,0.2606,0.4106,0.0,-0.2808,-0.2394,0.0,RISK_NEUTRAL,0.7,0.5
2021-07-23,33637.92,BEAR,0.0742,0.416,0.3076,0.1879,0.0885,0.3943,0.3121,0.0,-0.2159,-0.2756,0.0,RISK_NEUTRAL,0.7,0.5
2021-07-24,34282.56,BEAR,0.0828,0.3971,0.3123,0.1891,0.1014,-0.0161,0.1805,0.0,0.0009,-0.2756,0.0,RISK_NEUTRAL,0.7,0.5
2021-07-25,35369.93,BEAR,0.093,0.4256,0.2898,0.192,0.0927,0.1334,0.5506,0.0,0.225,-0.2756,0.0,RISK_NEUTRAL,0.7,0.5
2021-07-26,37269.52,BULL,0.1405,0.4519,0.2469,0.1932,0.108,0.227,1.0,0.0,0.4,-0.1755,0.0,RISK_NEUTRAL,0.7,0.7
2021-07-27,39496.69,BULL,0.1879,0.4866,0.2123,0.1955,0.1056,0.2595,1.0,0.0,0.4,-0.1255,0.2553,RISK_NEUTRAL,0.85,0.85
2021-07-28,40030.01,BULL,0.2313,0.5304,0.1816,0.1927,0.0953,0.3728,1.0,0.0,0.4,-0.1146,0.3188,RISK_ON,1.0,0.85
2021-07-29,40030.52,BULL,0.2942,0.552,0.1601,0.1853,0.1026,0.2718,0.6995,0.0,0.4,0.3596,0.3511,RISK_ON,1.0,0.85
2021-07-30,42231.83,BULL,0.342,0.6023,0.134,0.17,0.0937,0.5906,0.9189,0.0,0.4,0.2364,0.4105,RISK_ON,1.0,0.85
2021-07-31,41474.72,BULL,0.3789,0.6314,0.1165,0.1525,0.0996,0.6162,0.4444,0.0,0.4,0.2364,0.4414,RISK_ON,1.0,1.0
2021-08-01,39870.76,BULL,0.4827,0.6698,0.0984,0.1365,0.0954,0.5986,0.6269,0.0,0.4,0.8875,0.4827,RISK_ON,1.0,1.0
2021-08-02,39158.53,BULL,0.5228,0.6979,0.085,0.1242,0.093,0.6177,0.5249,0.0,0.4,0.7263,0.5129,RISK_ON,1.0,1.0
2021-08-03,38189.3,BULL,0.3769,0.6849,0.0856,0.1347,0.0948,0.3915,0.6079,0.0,0.4,-0.2123,0.5058,RISK_ON,1.0,1.0
2021-08-04,39738.56,BULL,0.3746,0.6817,0.0845,0.135,0.0988,0.4982,0.4702,0.0,0.3966,-0.2114,0.5036,RISK_ON,1.0,1.0
2021-08-05,40888.18,BULL,0.3654,0.6738,0.076,0.1405,0.1097,0.4872,1.0,0.0,0.2507,-0.1586,0.5048,RISK_ON,1.0,1.0
2021-08-06,42852.18,BULL,0.3649,0.6731,0.0725,0.1405,0.114,0.5979,0.7921,0.0,0.1334,-0.5431,0.5066,RISK_ON,1.0,1.0
2021-08-07,44617.96,BULL,0.365,0.672,0.0677,0.1392,0.121,0.6327,0.898,0.0,0.0168,-0.5431,0.5082,RISK_ON,1.0,1.0
2021-08-08,43827.75,BULL,0.3353,0.6454,0.0671,0.1315,0.156,0.6422,0.4978,0.0,-0.0456,-0.5431,0.4773,RISK_ON,1.0,0.85
2021-08-09,46292.61,BULL,0.3335,0.6438,0.0671,0.132,0.1571,0.6579,0.664,0.0,-0.0619,-0.6937,0.4761,RISK_ON,1.0,0.85
2021-08-10,45601.03,BULL,0.2525,0.5916,0.0669,0.1184,0.223,0.7106,0.1336,0.0,-0.0105,-0.7213,0.4158,RISK_ON,1.0,0.85
