fg_w,extreme,dd_bot,bottom_signals,bottom_precision,top_signals,top_precision,bottom_recall_on_real_lows,bottom_f1,n_real_lows
0.1,0.0,0.0,162,0.6172839506172839,334,0.4880239520958084,0.6634615384615384,0.6395402724997683,312
0.1,0.0,0.15,239,0.5857740585774058,329,0.48328267477203646,0.7852564102564102,0.671003081136597,312
0.1,0.0,0.25,272,0.5698529411764706,324,0.4845679012345679,0.7980769230769231,0.6649266074012818,312
0.1,0.15,0.0,163,0.6134969325153374,334,0.4880239520958084,0.6634615384615384,0.637501732341664,312
0.1,0.15,0.15,239,0.5857740585774058,329,0.48328267477203646,0.7852564102564102,0.671003081136597,312
0.1,0.15,0.25,272,0.5698529411764706,324,0.4845679012345679,0.7980769230769231,0.6649266074012818,312
0.1,0.25,0.0,163,0.6134969325153374,334,0.4880239520958084,0.6634615384615384,0.637501732341664,312
0.1,0.25,0.15,239,0.5857740585774058,329,0.48328267477203646,0.7852564102564102,0.671003081136597,312
0.1,0.25,0.25,272,0.5698529411764706,324,0.4845679012345679,0.7980769230769231,0.6649266074012818,312
0.15,0.0,0.0,186,0.6236559139784946,362,0.505524861878453,0.7115384615384616,0.6647049713489237,312
0.15,0.0,0.15,254,0.5826771653543307,355,0.49859154929577465,0.7916666666666666,0.6712819288613034,312
0.15,0.0,0.25,286,0.5664335664335665,351,0.4985754985754986,0.7980769230769231,0.6625930123687972,312
0.15,0.15,0.0,186,0.6236559139784946,362,0.505524861878453,0.7115384615384616,0.6647049713489237,312
0.15,0.15,0.15,254,0.5826771653543307,355,0.49859154929577465,0.7916666666666666,0.6712819288613034,312
0.15,0.15,0.25,286,0.5664335664335665,351,0.4985754985754986,0.7980769230769231,0.6625930123687972,312
0.15,0.25,0.0,186,0.6236559139784946,362,0.505524861878453,0.7115384615384616,0.6647049713489237,312
0.15,0.25,0.15,254,0.5826771653543307,355,0.49859154929577465,0.7916666666666666,0.6712819288613034,312
0.15,0.25,0.25,286,0.5664335664335665,351,0.4985754985754986,0.7980769230769231,0.6625930123687972,312
0.2,0.0,0.0,196,0.6122448979591837,392,0.5331632653061225,0.7243589743589743,0.6635998825486934,312
0.2,0.0,0.15,264,0.5833333333333334,383,0.5248041775456919,0.7948717948717948,0.6728682170542636,312
0.2,0.0,0.25,295,0.559322033898305,381,0.5223097112860893,0.7980769230769231,0.6577020050426221,312
0.2,0.15,0.0,196,0.6122448979591837,392,0.5331632653061225,0.7243589743589743,0.6635998825486934,312
0.2,0.15,0.15,264,0.5833333333333334,383,0.5248041775456919,0.7948717948717948,0.6728682170542636,312
0.2,0.15,0.25,295,0.559322033898305,381,0.5223097112860893,0.7980769230769231,0.6577020050426221,312
0.2,0.25,0.0,196,0.6122448979591837,392,0.5331632653061225,0.7243589743589743,0.6635998825486934,312
0.2,0.25,0.15,264,0.5833333333333334,383,0.5248041775456919,0.7948717948717948,0.6728682170542636,312
0.2,0.25,0.25,295,0.559322033898305,381,0.5223097112860893,0.7980769230769231,0.6577020050426221,312
0.25,0.0,0.0,206,0.6116504854368932,406,0.5369458128078818,0.7628205128205128,0.6789223454833597,312
0.25,0.0,0.15,272,0.5772058823529411,400,0.5325,0.8333333333333334,0.6820156385751519,312
0.25,0.0,0.25,306,0.5522875816993464,398,0.5301507537688442,0.8365384615384616,0.6653242228155121,312
0.25,0.15,0.0,206,0.6116504854368932,406,0.5369458128078818,0.7628205128205128,0.6789223454833597,312
0.25,0.15,0.15,272,0.5772058823529411,400,0.5325,0.8333333333333334,0.6820156385751519,312
0.25,0.15,0.25,306,0.5522875816993464,398,0.5301507537688442,0.8365384615384616,0.6653242228155121,312
0.25,0.25,0.0,206,0.6116504854368932,406,0.5369458128078818,0.7628205128205128,0.6789223454833597,312
0.25,0.25,0.15,272,0.5772058823529411,400,0.5325,0.8333333333333334,0.6820156385751519,312
0.25,0.25,0.25,306,0.5522875816993464,398,0.5301507537688442,0.8365384615384616,0.6653242228155121,312
0.3,0.0,0.0,222,0.6126126126126126,423,0.5484633569739953,0.7756410256410257,0.684554265984442,312
0.3,0.0,0.15,282,0.5780141843971631,419,0.5465393794749404,0.8365384615384616,0.6836523164441016,312
0.3,0.0,0.25,317,0.5488958990536278,417,0.5443645083932853,0.8365384615384616,0.6628571428571429,312
0.3,0.15,0.0,222,0.6126126126126126,423,0.5484633569739953,0.7756410256410257,0.684554265984442,312
0.3,0.15,0.15,282,0.5780141843971631,419,0.5465393794749404,0.8365384615384616,0.6836523164441016,312
0.3,0.15,0.25,317,0.5488958990536278,417,0.5443645083932853,0.8365384615384616,0.6628571428571429,312
0.3,0.25,0.0,222,0.6126126126126126,423,0.5484633569739953,0.7756410256410257,0.684554265984442,312
